id,date,hour,bc_price,bc_demand,ab_price,ab_demand,transfer,bc_price_evo
0,0.45206,1.0,0.074096,0.578846,0.005029,0.494821,0.489912,UP
1,0.455555,0.574468,0.033025,0.349003,0.001554,0.264889,0.829386,DOWN
2,0.027521,0.617021,0.098325,0.533918,0.003467,0.422915,0.414912,UP
3,0.455732,0.93617,0.041822,0.588515,0.00286,0.448731,0.525,UP
4,4.4e-05,0.255319,0.051489,0.30244,0.003467,0.422915,0.414912,UP
5,0.456573,0.574468,0.036778,0.554151,0.002482,0.618591,0.436842,DOWN
6,0.903544,0.042553,0.050829,0.258852,0.003328,0.295443,0.667982,UP
7,0.005088,0.404255,0.075357,0.571705,0.003467,0.422915,0.414912,UP
8,0.885182,0.234043,0.032034,0.271199,0.002059,0.286898,0.707895,DOWN
9,0.44706,1.0,0.038249,0.575275,0.002459,0.477991,0.715351,DOWN
10,0.451352,0.595745,0.03996,0.536894,0.002601,0.609788,0.571491,DOWN
11,0.438166,0.680851,0.070704,0.461172,0.003467,0.422915,0.414912,DOWN
12,0.031016,0.170213,0.050829,0.04582,0.003467,0.422915,0.414912,DOWN
13,0.867439,0.319149,0.02609,0.487057,0.001732,0.506991,0.710965,DOWN
14,0.872351,0.914894,0.028462,0.390806,0.000866,0.291559,0.767105,DOWN
15,0.881023,0.106383,0.023658,0.121988,0.000837,0.257121,0.697807,DOWN
16,0.000354,0.106383,0.080581,0.258554,0.003467,0.422915,0.414912,DOWN
17,0.001062,0.276596,0.122703,0.48557,0.003467,0.422915,0.414912,UP
18,0.013406,1.0,0.071905,0.464445,0.003467,0.422915,0.414912,DOWN
19,0.018672,0.617021,0.070163,0.273282,0.003467,0.422915,0.414912,UP
20,0.474006,0.595745,0.030413,0.394377,0.002061,0.332211,0.67807,UP
21,0.47436,0.531915,0.02612,0.244868,0.001735,0.153547,0.841228,UP
22,0.438255,0.255319,0.045304,0.180006,0.003467,0.422915,0.414912,DOWN
23,0.473961,0.638298,0.028522,0.598631,0.00188,0.434749,0.639912,DOWN
24,0.894651,0.595745,0.087216,0.685808,0.005573,0.688244,0.602632,UP
25,0.889297,0.382979,0.040591,0.520976,0.002009,0.373382,0.57193,UP
26,0.005265,0.021277,0.106731,0.510116,0.003467,0.422915,0.414912,UP
27,0.460466,0.531915,0.024078,0.291729,0.00161,0.278094,0.770614,DOWN
28,0.461174,0.382979,0.031524,0.518001,0.002121,0.534179,0.375,UP
29,0.465245,0.702128,0.046655,0.460875,0.00328,0.472294,0.150439,DOWN
30,0.897925,0.87234,0.087006,0.644005,0.005444,0.453392,0.747807,UP
31,0.027432,0.893617,0.074517,0.412675,0.003467,0.422915,0.414912,UP
32,0.027078,0.021277,0.093671,0.32535,0.003467,0.422915,0.414912,DOWN
33,0.465201,0.957447,0.03936,0.451056,0.002748,0.347488,0.261842,DOWN
34,0.014336,0.87234,0.088807,0.532282,0.003467,0.422915,0.414912,UP
35,0.000796,0.085106,0.090249,0.299018,0.003467,0.422915,0.414912,UP
36,0.023096,0.617021,0.109523,0.490925,0.003467,0.422915,0.414912,UP
37,0.031592,0.446809,0.065059,0.354359,0.003467,0.422915,0.414912,UP
38,0.460599,0.255319,0.028492,0.347813,0.001909,0.366908,0.719737,UP
39,0.027521,0.702128,0.088807,0.495686,0.003467,0.422915,0.414912,UP
40,0.912438,0.829787,0.053561,0.374145,0.003533,0.337649,0.606579,UP
41,0.889297,0.170213,0.02663,0.163642,0.001012,0.237442,0.74386,DOWN
42,0.8935,0.574468,0.109793,0.671824,0.007262,0.70637,0.484211,UP
43,0.911685,0.553191,0.080731,0.519042,0.005505,0.604868,0.315789,UP
44,0.880934,0.93617,0.028161,0.394228,0.001865,0.359917,0.717544,UP
45,0.907924,0.382979,0.089288,0.542993,0.006101,0.659762,0.288158,UP
46,0.473652,0.851064,0.027651,0.428741,0.001811,0.417141,0.620175,DOWN
47,0.880669,0.829787,0.035427,0.341267,0.002248,0.304247,0.768421,DOWN
48,0.912349,0.085106,0.043473,0.198899,0.002956,0.33506,0.476316,DOWN
49,0.026592,0.851064,0.059445,0.355103,0.003467,0.422915,0.414912,DOWN
50,0.871687,0.446809,0.028492,0.403749,0.001683,0.238219,0.896053,DOWN
51,0.018495,0.87234,0.047166,0.426361,0.003467,0.422915,0.414912,DOWN
52,0.425512,0.808511,0.084064,0.377864,0.003467,0.422915,0.414912,UP
53,0.889828,0.234043,0.107692,0.364177,0.006838,0.441222,0.802193,UP
54,0.469581,0.12766,0.024288,0.139988,0.001616,0.198861,0.580702,DOWN
55,0.867086,0.234043,0.023238,0.090003,0.001554,0.0,0.819737,DOWN
56,0.433521,0.446809,0.071064,0.52886,0.003467,0.422915,0.414912,UP
57,0.915756,0.723404,0.07893,0.482594,0.005347,0.460383,0.362281,UP
58,0.027123,0.680851,0.07923,0.458048,0.003467,0.422915,0.414912,UP
59,0.907615,0.021277,0.078269,0.413716,0.005274,0.448213,0.500439,UP
60,0.880581,0.042553,0.045785,0.373252,0.002939,0.39798,0.635088,UP
61,0.447414,0.808511,0.070674,0.793663,0.005048,0.658985,0.292982,UP
62,0.014114,0.87234,0.071304,0.56382,0.003467,0.422915,0.414912,UP
